alpha,gamma,m_neighbors,refine_iters,mean_err_l2,cov_err_fro,corr_err_fro,mmd,composite_score
0.3,1.5,32,3,0.39214900301976097,1.6361061982296097,0.23921468630803291,0.3202758927087443,1.7557135413836262
0.3,1.0,32,3,0.38667229499287764,1.6400187078546211,0.2338830930580475,0.32910692797175695,1.756960254383645
0.3,2.0,32,1,0.400509089485376,1.6429946002883726,0.23347992048716065,0.2975933438147614,1.759734560531953
0.3,1.5,32,2,0.39471517762746444,1.6408653264999196,0.23844060866682606,0.30831047690675034,1.7600856308333326
0.3,1.0,32,2,0.3889151848280101,1.6443439266783038,0.23322951891649019,0.31153013228813864,1.760958686136549
0.3,2.0,16,3,0.39796604752449777,1.632374212314689,0.26322573513737024,0.32025524212349493,1.763987079883374
0.3,1.0,32,1,0.3919349107153117,1.6513375333635747,0.23421879256991637,0.32780073772915835,1.7684469296485328
0.3,1.5,32,1,0.3982263415305403,1.6488810840826789,0.2393206296418639,0.3133010916852764,1.7685413989036107
0.3,2.0,16,2,0.4009970720419324,1.6380591193700174,0.2616672851721248,0.29894823904317747,1.7688927619560797
0.3,1.5,16,3,0.3954106020682859,1.638108856119606,0.26682761519675197,0.30187275659170165,1.771522663717982
0.3,1.0,16,3,0.389229692596337,1.6439415858808217,0.2598235221523927,0.3031392220048383,1.7738533469570181
0.3,1.5,16,2,0.3982132498525434,1.6434726363667178,0.26594702446375024,0.3081857971071454,1.776446148598593
0.3,1.0,16,2,0.3916727348199238,1.648728878129129,0.2597831546722613,0.3020261652718261,1.7786204554652596
0.3,2.0,16,1,0.40402524856177235,1.6466115117620814,0.2644822529245792,0.3040011180958201,1.778852638224371
0.3,1.5,16,1,0.40094475387703277,1.6513974370889042,0.26864251819261126,0.3016097920837268,1.7857186961852098
0.3,1.0,16,1,0.3939488904890881,1.6555573948290208,0.26229675814739556,0.31093560519485647,1.7867057739027186
0.4,0.5,16,3,0.39301675613647824,1.6516547469818679,0.30908559495863125,0.35027811720218155,1.8061975444611835
0.4,0.5,16,2,0.3945897737514851,1.6563530143999192,0.3176743050193016,0.35736424632040786,1.81519016690957
0.4,0.5,64,3,0.38959026637035465,1.6667855964111729,0.30564958827011257,0.3810656932038728,1.819610390546229
0.4,0.5,32,3,0.390240489246937,1.6750463692989854,0.29117644794868347,0.3625349140254957,1.8206345932733272
