alpha,gamma,m_neighbors,refine_iters,mean_err_l2,cov_err_fro,corr_err_fro,downstream_auc,composite_score
0.3,1.5,16,2,0.3109926961579143,2.3567804834122934,0.8083821021373625,0.8549856267830981,2.7609715344809747
0.3,2.0,32,2,0.2671962853694913,2.3973981196412777,0.7411665543152416,0.8547386435924128,2.7679813967988984
0.3,2.0,16,1,0.31025239937922755,2.363280467908348,0.8166103748506088,0.8551428526679004,2.7715856553336526
0.3,1.5,32,2,0.26576041532725797,2.4169972533981783,0.7468594800314424,0.8546594282519856,2.7904269934138997
0.3,1.5,16,1,0.30709615993688244,2.383796362605298,0.8178888348750477,0.855149479046187,2.7927407800428217
0.3,1.0,16,2,0.30498578250745084,2.390421561625898,0.8122694823254063,0.8550431557945872,2.796556302788601
0.3,2.0,32,1,0.2675651929564097,2.43986028532765,0.768308429928949,0.854858219600586,2.824014500292124
0.3,1.0,32,2,0.26271963662230025,2.44783520015548,0.7573660927578887,0.8545717793391935,2.8265182465344245
0.3,1.0,16,1,0.3014694114346603,2.416283097273847,0.8217304419373765,0.8552178512221453,2.8271483182425357
0.3,2.0,64,2,0.2665320798484069,2.4507340619786295,0.7802963986609287,0.8544389505744469,2.840882261309094
0.3,1.5,32,1,0.26606864812516157,2.457924525384086,0.7739571646338453,0.8548046061762665,2.8449031077010085
0.3,0.5,16,2,0.2891778786074334,2.4392132318443456,0.8223162837835132,0.8551494790461871,2.850371373736102
0.3,1.5,64,2,0.26581781372455426,2.469372997440552,0.7883120076750435,0.8543516028606677,2.8635290012780734
0.3,2.0,64,1,0.26688638058121933,2.4775744456682927,0.7984637427038103,0.8545452738260467,2.876806317020198
0.3,0.5,32,2,0.2515148761796699,2.490518171228943,0.7745430004568166,0.8544781064461409,2.877789671457351
0.3,0.5,16,1,0.28659898629530245,2.4625686417186103,0.8309963748705234,0.8552988737566504,2.8780668291538722
0.3,1.0,32,1,0.2629440458865577,2.4864338420555323,0.7840570445219918,0.8547338244082042,2.8784623643165284
0.4,2.0,32,2,0.336794865479448,2.4910324088197004,0.7787106287703675,0.8521709220063226,2.8803877232048842
0.3,1.5,64,1,0.2662605059153662,2.4953661933285582,0.8061932226071641,0.8544829256303493,2.8984628046321403
0.4,2.0,16,2,0.34398982154448876,2.4826047707893197,0.8319525990123166,0.851910686059064,2.898581070295478
0.3,1.0,64,2,0.2639427351308636,2.498302745542859,0.8011932305647589,0.8542097381255301,2.8988993608252382
0.4,1.5,32,2,0.33540677547349257,2.509579287083948,0.7875693534324757,0.8521781507826356,2.903363963800186
0.5,2.0,32,2,0.3658105350048248,2.511095918035171,0.8048748000551151,0.852423929177269,2.9135333180627287
0.4,1.5,16,2,0.34190653875608246,2.5010763755594025,0.8360013128014817,0.8519296615968849,2.9190770319601436
0.3,0.5,32,1,0.25168111679798494,2.525616566192646,0.7995544607369152,0.8546205735793044,2.9253937965611034
0.5,2.0,16,2,0.38103315516792957,2.499389509317609,0.856570538899993,0.8495980800370112,2.927674778767605
0.3,1.0,64,1,0.2645277599535831,2.52310933082681,0.818592115908247,0.8543594340350065,2.932405388780934
0.4,2.0,64,2,0.33598565028435384,2.53093762934746,0.8106964124743674,0.8548645447798597,2.936285835584644
0.5,1.5,32,2,0.36416615487013243,2.5299015888873724,0.8135726229897616,0.852424531575295,2.9366879003822532
0.4,2.0,32,1,0.33712092075956795,2.5365021781045662,0.806362024909466,0.8518868913370344,2.939683190559299
0.4,1.0,32,2,0.33230622042912256,2.539260199824316,0.8030789075348822,0.8522133910671602,2.940799653591757
0.3,0.5,64,2,0.2548001459263409,2.5355132218413483,0.8141258431239908,0.8540874513262395,2.9425761434033437
0.5,1.5,16,2,0.3783246902513743,2.517639054782974,0.8603974957747357,0.8497441615583314,2.947837802670342
0.5,2.0,64,2,0.3448796824331804,2.5274572881297765,0.8473762372003079,0.8523392922546071,2.9511454067299305
0.4,1.0,16,2,0.33770054207674555,2.5303940083802727,0.8439520057681167,0.8520245392859898,2.952370011264331
0.4,2.0,16,1,0.34235215807879843,2.5290048309412447,0.8563272037910279,0.8524926025522399,2.9571684328367587
0.4,1.5,64,2,0.3345207522236087,2.547525860048055,0.820233577808565,0.8548410512568433,2.957642648952337
0.4,1.5,32,1,0.33563557981221576,2.5538918510994173,0.8156698212527901,0.8519070716709076,2.9617267617258123
0.5,2.0,16,1,0.38465965821534426,2.5389732041418065,0.8676018409579672,0.8495155515074408,2.97277412462079
0.5,1.5,64,2,0.34387582534024574,2.544305780342068,0.8581177292291529,0.8523459186328938,2.973364644956644
0.5,1.0,32,2,0.3606407275125903,2.5597340235872075,0.8287897990657773,0.8524775426015884,2.9741289231200962
0.3,0.5,64,1,0.2556040597516216,2.5588885616857855,0.8307786606797875,0.854305820610687,2.9742778920256794
0.4,1.5,16,1,0.3401282451683116,2.5462713694079007,0.8592625242246491,0.8525775406739148,2.975902631520225
0.5,1.0,16,2,0.3730353464532265,2.546843090678837,0.8679680319130295,0.8499787955894826,2.9808271066353518
0.5,2.0,32,1,0.36605163781680833,2.563349163118933,0.848061860318916,0.8531817458940552,2.987380093278391
0.4,1.0,64,2,0.33125099895822935,2.573687024584122,0.8357979615297676,0.8548166541367878,2.9915860053490055
0.5,1.5,16,1,0.3819418753457246,2.555813068342734,0.8715760200113231,0.849654705451461,2.9916010783483955
0.4,0.5,32,2,0.3202097964703401,2.5825900426119066,0.8284762597360407,0.8524269411673991,2.996828172479927
0.4,1.0,32,1,0.3323795067861675,2.581652407223738,0.8316921386702196,0.851950444328784,2.9974984765588477
0.4,0.5,16,2,0.32374392227816146,2.5719232533063066,0.8583038078149329,0.8523534486082196,3.001075157213773
0.4,1.0,16,1,0.335702184705269,2.5735730389405562,0.8654474065636825,0.8526600692034852,3.0062967422223976
0.5,1.0,64,2,0.34135103181823706,2.5715671895098584,0.8754411635560302,0.8523311598812553,3.0092877712878736
0.5,1.5,32,1,0.36436867905692,2.5810352641921344,0.8572077340144043,0.8531853602822114,3.0096391311993367
0.4,2.0,64,1,0.3364907806044729,2.581350216867938,0.8637876437830867,0.854992855559411,3.013244038759481
